rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
535	2742.586802	2256.195883
536	2741.796201	2253.944387
537	2737.965577	2253.626085
538	2734.003421	2253.610713
539	2733.442024	2251.038794
540	2732.583559	2248.524447
541	2732.183012	2247.269325
542	2731.097343	2246.673608
543	2731.024116	2246.331108
544	2729.73977	2244.330787
545	2729.410752	2243.792865
546	2729.270481	2242.435878
547	2728.904438	2241.924281
548	2728.877332	2239.867982
549	2728.432128	2238.148257
550	2723.798248	2238.090836
551	2722.756584	2237.457632
552	2719.926039	2236.614466
553	2718.850608	2236.295992
554	2718.764305	2234.667266
555	2717.59195	2232.787656
556	2716.694987	2230.728128
557	2716.089266	2230.527039
558	2714.585386	2228.708309
559	2710.946322	2227.53706
560	2710.292792	2227.091402
561	2708.032938	2227.062989
562	2707.376833	2225.234741
563	2707.370544	2223.234845
564	2705.768883	2220.181261
565	2705.223203	2219.282371
566	2703.085216	2218.054684
567	2702.912782	2217.384572
568	2701.124615	2215.853404
569	2700.780486	2215.496504
570	2696.88548	2214.833297
571	2696.241025	2214.43676
572	2695.403761	2212.780311
573	2694.926223	2211.897168
574	2692.529877	2209.876486
575	2691.980445	2209.719595
576	2686.519047	2206.652575
577	2686.153633	2203.412391
578	2684.08592	2199.202867
579	2683.264477	2198.155256
580	2674.327578	2197.228719
581	2671.366069	2195.212841
582	2668.740091	2194.977183
583	2666.734059	2189.899129
584	2666.02628	2189.151655
585	2665.776069	2188.460834
586	2664.567403	2188.087689
587	2664.358732	2182.738579
588	2663.490579	2181.260822
589	2660.399456	2180.700915
590	2657.898824	2179.901584
591	2657.634257	2179.084075
592	2653.38499	2177.755353
593	2652.914777	2176.882976
594	2652.874967	2176.610137
595	2644.980014	2176.297282
596	2644.825855	2174.461812
597	2644.21373	2173.752365
598	2641.817849	2173.546874
599	2638.102709	2173.297266
600	2636.457522	2173.237741
601	2636.201384	2169.42259
602	2633.63904	2168.787629
603	2632.504355	2168.010681
604	2630.257146	2167.714922
605	2629.67175	2166.063959
606	2625.126907	2164.030947
607	2624.112269	2161.048842
608	2623.55049	2160.397338
609	2622.955455	2158.821418
610	2621.693985	2158.669371
611	2621.462702	2158.503161
612	2621.271669	2157.551388
613	2621.141744	2153.310681
614	2619.421338	2151.662884
615	2619.18704	2150.216788
616	2618.217345	2150.192728
617	2617.027012	2150.079881
618	2616.961298	2148.760846
619	2615.96611	2148.716552
620	2614.920754	2147.940651
621	2613.864553	2147.381746
622	2612.35752	2146.908226
623	2612.123151	2146.655899
624	2612.016784	2145.021755
625	2610.79103	2144.307948
626	2610.049577	2141.323571
627	2609.479187	2140.002521
628	2609.458755	2139.513567
629	2609.382417	2137.02375
630	2607.837828	2134.469295
631	2606.38096	2133.38408
632	2603.374552	2133.24583
633	2603.319398	2132.54598
634	2600.803626	2132.103438
635	2597.961876	2131.886799
636	2596.438474	2128.969697
637	2596.364244	2127.485075
638	2595.770927	2125.393105
639	2594.331142	2125.267323
640	2593.923055	2121.444177
641	2593.125811	2120.511422
642	2589.329911	2118.569835
643	2584.113868	2116.587456
644	2582.150578	2113.377519
645	2582.07808	2111.98832
646	2581.392927	2110.369258
647	2579.136111	2108.636696
648	2578.863799	2108.532763
649	2575.333349	2106.200216
650	2570.207677	2104.701254
651	2567.878378	2103.678225
652	2565.448274	2100.422573
653	2565.40758	2098.878105
654	2565.227473	2098.095788
655	2562.183894	2092.795734
656	2560.514218	2089.212344
657	2558.961377	2088.258172
658	2557.927383	2087.410299
659	2557.389031	2086.429678
660	2556.172763	2085.874132
661	2555.610208	2085.370017
662	2550.774215	2084.974934
663	2547.395288	2084.249041
664	2546.590604	2083.846593
665	2543.987221	2083.80769
666	2543.047463	2082.84473
667	2541.855057	2082.288863
668	2541.798739	2081.036128
669	2540.845882	2080.828774
670	2540.724288	2078.772988
671	2537.930765	2078.219512
672	2537.401685	2075.863982
673	2536.645158	2072.508628
674	2535.755403	2071.550891
675	2533.419529	2071.4472
676	2529.474266	2070.636699
677	2529.126611	2070.242686
678	2528.100738	2069.425133
679	2526.850939	2069.328527
680	2526.837649	2063.461483
681	2526.475316	2063.405085
682	2523.915752	2062.832068
683	2522.96376	2062.090774
684	2522.594342	2059.331687
685	2522.40021	2058.659971
686	2520.257813	2058.039911
687	2518.281991	2053.723335
688	2517.650546	2052.478747
689	2516.365823	2050.673878
690	2515.939944	2048.786696
691	2515.615958	2048.097366
692	2512.97612	2048.073555
693	2512.54796	2046.78928
694	2512.323312	2046.327731
695	2511.816178	2043.905326
696	2511.233576	2043.27748
697	2510.444677	2042.905604
698	2509.706597	2039.97378
699	2509.702529	2038.833869
700	2509.563826	2038.198343
701	2509.296405	2035.481843
702	2508.95598	2034.778407
703	2507.354879	2031.147304
704	2507.277901	2030.486647
705	2503.882636	2030.148386
706	2503.053687	2029.801509
707	2502.633955	2029.253519
708	2501.763287	2028.969849
709	2498.226976	2028.943593
710	2497.644038	2028.149282
711	2496.339942	2027.833702
712	2496.229182	2027.384392
713	2494.386643	2024.386057
714	2487.587769	2022.094948
715	2487.50758	2021.832934
716	2486.98948	2021.436488
717	2484.560193	2021.352206
718	2483.671736	2020.789483
719	2482.685266	2020.015886
720	2482.287738	2019.794169
721	2478.460306	2019.230632
722	2474.379212	2018.704053
723	2473.914474	2017.591255
724	2471.174752	2016.547178
725	2471.146821	2016.448877
726	2467.551269	2014.115028
727	2466.499628	2012.803037
728	2465.802484	2012.693554
729	2465.653916	2011.318574
730	2465.069007	2010.886141
731	2463.990276	2009.682659
732	2463.618931	2009.314795
733	2460.937231	2008.766416
734	2460.651246	2008.472996
735	2459.281095	2007.618713
736	2458.012917	2007.157184
737	2456.989477	2005.420103
738	2456.361684	2004.618298
739	2455.365396	2004.006166
740	2454.327484	2002.356145
741	2454.219865	2001.647706
742	2451.816307	2001.070097
743	2451.561745	2000.938303
744	2450.524793	1998.916532
745	2450.297378	1997.262558
746	2450.191447	1996.900053
747	2449.449889	1996.191653
748	2447.650928	1996.087863
749	2444.858763	1995.150406
750	2440.260282	1994.806198
751	2438.433483	1994.536236
752	2438.0463	1994.410442
753	2436.308471	1992.763749
754	2435.674576	1992.551718
755	2433.916917	1989.556062
756	2433.794385	1988.830089
757	2432.254967	1987.294901
758	2430.623992	1985.90593
759	2429.815052	1984.665324
760	2429.388416	1984.179809
761	2428.156478	1983.885129
762	2427.415335	1983.425904
763	2427.360268	1983.176276
764	2422.671601	1982.379263
765	2422.351477	1980.575585
766	2421.499788	1978.462514
767	2420.99318	1976.545395
768	2420.649684	1976.420748
